iter	Passed	Remaining
148	271	1550
149	272	1543
150	273	1537
151	274	1530
152	275	1523
153	276	1517
154	277	1510
155	278	1504
156	279	1498
157	279	1491
158	280	1484
159	281	1477
160	281	1469
161	282	1463
162	283	1457
163	284	1451
164	286	1447
165	287	1442
166	288	1436
167	288	1430
168	289	1424
169	290	1419
170	291	1413
171	292	1408
172	293	1401
173	294	1397
174	295	1392
175	296	1386
176	296	1380
177	297	1375
178	298	1370
179	300	1367
180	301	1364
181	302	1358
182	303	1354
183	304	1350
184	305	1345
185	306	1340
186	307	1335
187	308	1331
188	309	1326
189	309	1321
190	310	1316
191	311	1311
192	312	1307
193	313	1302
194	314	1299
195	315	1295
196	316	1291
197	317	1287
198	318	1282
199	319	1277
200	320	1272
201	321	1268
202	322	1264
203	323	1260
204	323	1256
205	324	1252
206	325	1247
207	326	1243
208	327	1239
209	328	1235
210	329	1231
211	330	1228
212	331	1225
213	332	1221
214	333	1217
215	334	1213
216	335	1209
217	335	1205
218	336	1201
219	337	1197
220	338	1194
221	339	1190
222	340	1187
223	341	1183
224	342	1179
225	343	1176
226	344	1174
227	346	1171
228	346	1168
229	347	1164
230	348	1161
231	349	1157
232	350	1153
233	351	1150
234	352	1147
235	353	1143
236	354	1139
237	354	1136
238	355	1133
239	356	1129
240	357	1126
241	358	1123
242	359	1120
243	360	1117
244	361	1114
245	362	1111
246	363	1108
247	364	1104
248	365	1101
249	366	1098
250	367	1095
251	367	1091
252	368	1088
253	369	1085
254	370	1082
255	371	1079
256	372	1075
257	372	1072
258	373	1069
259	374	1067
260	376	1065
261	377	1062
262	378	1059
263	378	1056
264	379	1053
265	380	1050
266	381	1046
267	382	1043
268	382	1040
269	383	1037
270	384	1035
271	385	1032
272	386	1029
273	387	1026
274	388	1023
275	388	1020
276	390	1018
277	391	1016
278	392	1013
279	393	1011
280	394	1008
281	395	1005
282	395	1002
283	396	999
284	397	997
285	398	994
286	399	992
287	400	989
288	400	986
289	401	983
290	402	981
291	403	978
292	404	976
293	405	974
294	406	972
295	407	969
296	408	967
297	409	964
298	410	962
299	411	959
300	412	957
301	413	954
302	413	952
303	414	949
304	415	947
305	416	944
306	417	942
307	418	940
308	419	937
309	420	935
310	421	933
311	422	931
312	423	929
313	424	927
314	425	924
315	426	922
316	427	920
317	428	918
318	428	915
319	429	913
320	430	910
321	431	907
322	431	905
323	432	903
324	433	900
325	434	898
326	435	896
327	436	894
328	437	892
329	438	890
330	439	888
331	440	885
332	440	883
333	441	881
334	442	878
335	443	876
336	444	874
337	445	872
338	446	870
339	447	867
340	447	865
341	448	863
342	449	861
343	451	860
344	451	858
345	452	855
346	453	853
347	454	851
348	455	849
349	456	847
350	457	845
351	457	842
352	458	840
353	459	838
354	460	836
355	461	834
356	461	831
357	462	829
358	463	827
359	464	826
360	465	824
361	467	823
362	467	821
363	468	818
364	469	816
365	470	814
366	471	812
367	472	810
368	473	808
369	473	807
370	474	805
371	475	803
372	476	801
373	477	799
374	478	797
375	479	795
376	480	793
377	481	792
378	482	790
379	483	788
380	484	787
381	485	785
382	486	783
383	487	781
384	488	779
385	489	777
386	489	775
387	490	774
388	491	772
389	492	770
390	493	768
391	494	767
392	495	765
393	496	764
394	497	762
395	498	760
396	499	758
397	500	757
398	501	755
399	502	753
400	503	751
401	504	750
402	505	748
403	506	746
404	507	744
405	507	743
406	508	741
407	509	739
408	511	738
409	512	736
410	513	735
411	514	733
412	515	732
413	516	730
414	517	728
415	518	727
416	519	725
417	520	724
418	520	722
419	521	720
420	522	718
421	523	716
422	524	715
423	525	713
424	526	712
425	527	710
426	528	708
427	529	707
428	530	705
429	531	704
430	532	702
431	532	700
432	533	698
433	534	697
434	535	695
435	536	693
436	537	692
437	538	690
438	539	689
439	540	688
440	541	686
441	542	684
442	543	683
443	544	681
444	545	679
445	545	678
446	546	676
447	547	674
448	548	673
449	549	671
450	550	669
451	550	667
452	551	666
453	552	664
454	553	662
455	553	660
456	555	659
457	556	658
458	557	656
459	558	655
460	559	653
461	559	652
462	560	650
463	561	648
464	562	647
465	563	645
466	564	644
467	565	642
468	566	641
469	567	639
470	568	638
471	569	636
472	570	635
473	571	634
474	572	632
475	573	630
476	574	629
477	574	627
478	575	626
479	576	624
480	577	623
481	578	621
482	579	620
483	580	618
484	581	617
485	582	615
486	583	614
487	583	612
488	585	611
489	586	610
490	587	608
491	587	607
492	588	605
493	589	604
494	590	602
495	591	601
496	592	599
497	593	597
498	594	596
499	594	594
500	595	593
501	596	591
502	597	590
503	598	588
504	599	587
505	600	586
506	601	585
507	602	583
508	603	582
509	604	580
510	605	579
511	606	577
512	607	576
513	607	574
514	608	573
515	609	572
516	610	570
517	611	569
518	612	567
519	613	566
520	614	565
521	615	563
522	616	562
523	617	561
524	618	559
525	619	558
526	620	556
527	621	555
528	622	553
529	622	552
530	623	550
531	624	549
532	625	548
533	626	547
534	627	545
535	629	544
536	630	543
537	631	542
538	632	541
539	633	539
540	634	538
541	635	536
542	636	535
543	636	533
544	637	532
545	638	531
546	639	529
547	640	528
548	641	527
549	642	525
550	643	524
551	644	522
552	645	522
553	646	520
554	647	519
555	648	517
556	649	516
557	650	515
558	651	513
559	651	512
560	652	510
561	653	509
562	654	507
563	655	506
564	656	505
565	657	503
566	658	502
567	658	501
568	660	499
569	660	498
570	662	497
571	663	496
572	663	494
573	664	493
574	665	492
575	666	490
576	667	489
577	668	488
578	669	486
579	670	485
580	671	483
581	671	482
582	672	481
583	673	479
584	674	478
585	676	477
586	677	476
587	678	475
588	679	474
589	680	472
590	681	471
591	682	470
592	683	468
593	683	467
594	684	466
595	685	464
596	686	463
597	687	462
598	688	461
599	689	459
600	691	458
601	692	457
602	693	456
603	694	455
604	695	454
605	696	452
606	697	451
607	698	450
608	699	449
609	700	447
610	701	446
611	702	445
612	703	444
613	705	443
614	706	442
615	707	440
616	708	439
617	709	438
618	710	437
619	711	436
620	712	434
621	713	433
622	714	432
623	715	431
624	716	429
625	717	428
626	718	427
627	719	426
628	720	425
629	721	423
630	722	422
631	723	421
632	725	420
633	726	419
634	726	417
635	727	416
636	728	415
637	729	413
638	730	412
639	731	411
640	732	410
641	733	408
642	735	408
643	736	407
644	737	406
645	738	404
646	739	403
647	740	402
648	741	400
649	742	399
650	743	398
651	744	397
652	745	396
653	746	394
654	747	393
655	748	392
656	749	391
657	750	389
658	751	388
659	752	387
660	753	386
661	754	385
662	755	384
663	756	382
664	757	381
665	758	380
666	759	378
667	759	377
668	760	376
669	761	375
670	762	373
671	763	372
672	764	371
673	766	370
674	767	369
675	768	368
676	768	366
677	769	365
678	770	364
679	771	362
680	772	361
681	773	360
682	774	359
683	775	358
684	775	356
685	776	355
686	777	354
687	778	353
688	779	351
689	781	350
690	782	349
691	783	348
692	784	347
693	784	346
694	785	344
695	786	343
696	787	342
697	788	341
698	789	340
699	790	338
700	791	337
701	792	336
702	793	335
703	794	334
704	795	333
705	796	331
706	797	330
707	798	329
708	799	328
709	800	327
710	801	325
711	802	324
712	803	323
713	804	322
714	805	321
715	807	320
716	807	318
717	809	317
718	810	316
719	811	315
720	812	314
721	813	313
722	814	311
723	815	310
724	816	309
725	817	308
726	818	307
727	819	306
728	820	304
729	820	303
730	821	302
731	822	301
732	823	300
733	824	298
734	826	297
735	826	296
736	827	295
737	828	294
738	829	292
739	830	291
740	831	290
741	832	289
742	833	288
743	834	287
744	835	285
745	836	284
746	836	283
747	837	282
748	839	281
749	840	280
750	841	278
751	842	277
752	843	276
753	844	275
754	845	274
755	846	273
756	846	271
757	847	270
758	848	269
759	849	268
760	849	266
761	850	265
762	851	264
763	852	263
764	854	262
765	855	261
766	856	260
767	857	258
768	858	257
769	859	256
770	860	255
771	861	254
772	861	253
773	862	251
774	863	250
775	864	249
776	865	248
777	866	247
778	867	245
779	867	244
780	869	243
781	870	242
782	871	241
783	872	240
784	873	239
785	873	237
786	874	236
787	875	235
788	876	234
789	877	233
790	878	232
791	879	231
792	880	229
793	881	228
794	882	227
795	883	226
796	884	225
797	885	224
798	886	222
799	887	221
800	888	220
801	889	219
802	889	218
803	890	217
804	891	216
805	892	214
806	893	213
807	894	212
808	894	211
809	895	210
810	896	209
811	897	207
812	899	206
813	900	205
814	901	204
815	901	203
816	902	202
817	903	201
818	904	199
819	905	198
820	906	197
821	906	196
822	907	195
823	908	194
824	909	192
825	910	191
826	911	190
827	912	189
828	912	188
829	914	187
830	915	186
831	916	185
832	917	183
833	918	182
834	918	181
835	919	180
836	920	179
837	921	178
838	922	177
839	923	175
840	924	174
841	925	173
842	926	172
843	927	171
844	928	170
845	929	169
846	930	168
847	931	166
848	932	165
849	933	164
850	934	163
851	935	162
852	935	161
853	936	160
854	937	159
855	938	157
856	939	156
857	940	155
858	941	154
859	942	153
860	943	152
861	944	151
862	945	150
863	946	149
864	947	147
865	948	146
866	949	145
867	950	144
868	951	143
869	952	142
870	952	141
871	953	140
872	954	138
873	955	137
874	956	136
875	957	135
876	958	134
877	959	133
878	960	132
879	961	131
880	962	130
881	963	128
882	964	127
883	965	126
884	966	125
885	967	124
886	968	123
887	969	122
888	970	121
889	971	120
890	972	118
891	973	117
892	975	116
893	975	115
894	976	114
895	978	113
896	978	112
897	979	111
898	980	110
899	981	109
900	983	108
901	983	106
902	984	105
903	985	104
904	986	103
905	987	102
906	988	101
907	989	100
908	990	99
909	991	98
910	992	96
911	993	95
912	994	94
913	995	93
914	996	92
915	997	91
916	997	90
917	998	89
918	999	88
919	1000	87
920	1001	85
921	1002	84
922	1003	83
923	1004	82
924	1005	81
925	1006	80
926	1007	79
927	1008	78
928	1009	77
929	1010	76
930	1010	74
931	1011	73
932	1012	72
933	1013	71
934	1014	70
935	1015	69
936	1016	68
937	1017	67
938	1018	66
939	1019	65
940	1020	63
941	1021	62
942	1021	61
943	1023	60
944	1024	59
945	1024	58
946	1025	57
947	1026	56
948	1027	55
949	1028	54
950	1029	53
951	1030	51
952	1031	50
953	1032	49
954	1033	48
955	1034	47
956	1035	46
957	1036	45
958	1037	44
959	1038	43
960	1039	42
961	1040	41
962	1041	40
963	1042	38
964	1043	37
965	1044	36
966	1045	35
967	1046	34
968	1047	33
969	1049	32
970	1050	31
971	1051	30
972	1052	29
973	1054	28
974	1055	27
975	1056	25
976	1057	24
977	1058	23
978	1059	22
979	1060	21
980	1062	20
981	1063	19
982	1064	18
983	1065	17
984	1066	16
985	1067	15
986	1068	14
987	1069	12
988	1071	11
989	1072	10
990	1073	9
991	1074	8
992	1076	7
993	1077	6
994	1079	5
995	1080	4
996	1081	3
997	1082	2
998	1083	1
999	1084	0
